*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=pcb_r2
*Date=05:00:44
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
103;;;74.5998;-42.9872;0;Bottom;Copper Fill39
104;1µF;100 mil [THT, electrolytic];81.7059;-18.9272;0;Bottom;100uF
105;;;61.0108;-29.0934;0;Bottom;Copper Fill54
106;;;75.2602;-54.9252;0;Bottom;Copper Fill27
107;;THT;60.1159;-96.3972;90;Bottom;GY-511
108;;;57.7342;-84.948;0;Bottom;Copper Fill17
109;;;37.2618;-27.4932;0;Bottom;Copper Fill100
110;;;51.2572;-90.028;0;Bottom;Copper Fill10
111;;;59.5581;-7.42229;0;Bottom;TXT1
112;;;57.7342;-82.408;0;Bottom;Copper Fill21
113;;THT;81.7059;-26.5472;90;Bottom;J81
114;;3 mm [THT];90.1117;-90.8078;135;Bottom;LED8
115;;;57.531;-48.5244;0;Bottom;Copper Fill95
116;;;48.6504;-7.5205;0;Bottom;Hole9
117;;;48.0314;-18.3238;0;Bottom;Copper Fill67
118;;;52.4958;-59.5673;0;Bottom;Via14
119;;;74.676;-48.118;0;Bottom;Copper Fill33
120;;;96.2152;-98.5878;0;Bottom;Copper Fill2
121;;;35.6362;-19.9494;0;Bottom;Copper Fill106
122;;;60.0456;-114.437;0;Bottom;Copper Fill72
123;;;62.611;-55.357;0;Bottom;Copper Fill85
124;;;43.561;-18.8318;0;Bottom;Copper Fill108
125;;THT;87.4209;-65.9172;0;Bottom;J77
126;;5 mm [THT];25.9725;-25.2914;-45;Bottom;IR LED9
127;;;75.5142;-37.958;0;Bottom;Copper Fill44
128;;3 mm [THT];29.2138;-90.1872;45;Bottom;LED7
129;4.7k;1206 [SMD];78.2507;-44.3272;0;Bottom;4k7
130;;;30.3276;-30.2872;0;Bottom;Copper Fill51
131;;;32.5878;-50.0129;0;Bottom;Hole1
132;;;61.6966;-22.0068;0;Bottom;Copper Fill65
133;;THT;20.3245;-99.5754;45;Bottom;J78
134;;;45.847;-30.3634;0;Bottom;Copper Fill96
135;;THT;53.7659;-81.1572;0;Bottom;J83
136;;;60.1946;-109.975;-90;Bottom;IMG3
137;;;41.6306;-25.4104;0;Bottom;Copper Fill104
138;;;68.6054;-48.2958;0;Bottom;Copper Fill86
139;;;81.6356;-34.8084;0;Bottom;Copper Fill50
140;;;75.3364;-94.9048;0;Bottom;Copper Fill3
